rank,feature,importance
1,QTDE_ATRASOS_ANT,0.18412516865638023
2,VALOR_A_PAGAR,0.12050144214011131
3,PRAZO_EMISSAO_VENCIMENTO,0.09802828664964885
4,VALOR_RELATIVO_RENDA,0.07394513205478487
5,TICKET_MEDIO_ANT,0.0691573598516111
6,TEMPO_CADASTRO,0.06303843934645338
7,RENDA_MES_ANTERIOR,0.049411348914605
8,NO_FUNCIONARIOS,0.040096549671757235
9,MES,0.02964734956688199
10,TAXA,0.01815660637592711
11,SEGMENTO_INDUSTRIAL_Serviços,0.008998420210531233
12,PORTE_MEDIO,0.007612273063151887
13,PORTE_PEQUENO,0.007501523201949879
14,DOMINIO_EMAIL_YAHOO,0.00746452023899301
15,DOMINIO_EMAIL_HOTMAIL,0.007290667408447635
16,DOMINIO_EMAIL_GMAIL,0.0065911249355542914
17,SEGMENTO_INDUSTRIAL_Indústria,0.006004683112383854
18,DDD_11,0.005564291356760062
19,DDD_65,0.00520498607068352
20,DDD_nan,0.004799192742153179
