rank,feature,importance
1,10_51.0,3.705767684950592
2,15_86.0,3.5484931025305033
3,15_40.0,3.5070831462196725
4,10_8.0,3.262373200935367
5,10_75.0,3.1716495806996647
6,10_69.0,3.0905426564554763
7,10_6.0,3.007106893005379
8,10_46.0,2.903207499490559
9,15_82.0,2.825162812300642
10,10_35.0,2.8205350749676654
11,10_17.0,2.8011933965078932
12,15_8.0,2.7357111862419288
13,10_12.0,2.696464392296198
14,15_56.0,2.519383317349096
15,10_72.0,2.4465692501832086
16,15_81.0,2.31047379400795
17,15_28.0,2.280404301166293
18,15_70.0,2.237667602252398
19,10_59.0,2.139821428982373
20,10_39.0,2.118059606060614
