rank,feature,importance
1,DDD_(9,3.8126577093699723
2,CEP_2_DIG_51,2.912385157054869
3,DDD_42,2.8848752910906548
4,CEP_2_DIG_97,2.8600429935053486
5,DDD_15,2.7640900223429847
6,DDD_07,2.7154073594758596
7,DDD_54,2.697470954615171
8,DDD_95,2.5138330582606585
9,CEP_2_DIG_39,2.476442088910597
10,DDD_87,2.460929148366818
11,CEP_2_DIG_69,2.381203688179513
12,DDD_92,2.2891862872053754
13,DDD_55,2.2305632832410707
14,DDD_53,2.1860780342298165
15,DDD_63,2.1260486426135525
16,CEP_2_DIG_17,2.0915217501059358
17,CEP_2_DIG_86,2.0221831785050184
18,DDD_61,1.9803766791481152
19,DDD_45,1.9639157510705887
20,DDD_00,1.9262364682097675
