rank,feature,importance
1,9,0.28337490932701487
2,5,0.11952182550951446
3,0,0.09468023866044888
4,6,0.05501127313884245
5,8,0.051546625676659505
6,4,0.04514816710077925
7,1,0.04117903214881666
8,2,0.0364901234402066
9,7,0.029426366794994066
10,3,0.02661457020081262
11,12_2.0,0.00866250800163321
12,10_53.0,0.007093035468779092
13,15_67.0,0.006995879110249328
14,14_1.0,0.006427087045650202
15,14_2.0,0.005744028830885498
16,13_5.0,0.005524377618937936
17,13_3.0,0.005448442061113355
18,15_37.0,0.005419462521215894
19,13_2.0,0.005391404439633884
20,15_54.0,0.005248413946140301
