rank,feature,importance
1,TEMPO_CADASTRO,2487.0
2,VALOR_A_PAGAR,2234.0
3,PRAZO_EMISSAO_VENCIMENTO,2181.0
4,TICKET_MEDIO_ANT,1948.0
5,QTDE_ATRASOS_ANT,1468.0
6,NO_FUNCIONARIOS,1389.0
7,RENDA_MES_ANTERIOR,1388.0
8,VALOR_RELATIVO_RENDA,1236.0
9,MES,1150.0
10,TAXA,519.0
11,DOMINIO_EMAIL_HOTMAIL,136.0
12,PORTE_MEDIO,95.0
13,SEGMENTO_INDUSTRIAL_Indústria,92.0
14,DDD_11,91.0
15,DOMINIO_EMAIL_GMAIL,84.0
16,SEGMENTO_INDUSTRIAL_Serviços,84.0
17,CEP_2_DIG_13,76.0
18,PORTE_PEQUENO,70.0
19,DOMINIO_EMAIL_YAHOO,66.0
20,CEP_2_DIG_68,64.0
