rank,feature,importance
1,QTDE_ATRASOS_ANT,0.18343714570386485
2,VALOR_A_PAGAR,0.12190480621418949
3,PRAZO_EMISSAO_VENCIMENTO,0.10181330158620325
4,VALOR_RELATIVO_RENDA,0.0729874507029751
5,TICKET_MEDIO_ANT,0.07162993105412033
6,TEMPO_CADASTRO,0.06495596984656081
7,RENDA_MES_ANTERIOR,0.04701590485896281
8,NO_FUNCIONARIOS,0.03998751196534146
9,MES,0.030113896212846995
10,TAXA,0.01816531749699095
11,SEGMENTO_INDUSTRIAL_Serviços,0.008288623424823258
12,PORTE_MEDIO,0.007684322519470152
13,DOMINIO_EMAIL_YAHOO,0.007411057785941241
14,PORTE_PEQUENO,0.0072363624517751855
15,DOMINIO_EMAIL_HOTMAIL,0.006981323739248388
16,DOMINIO_EMAIL_GMAIL,0.006688716676539985
17,DDD_11,0.0062067013174231245
18,SEGMENTO_INDUSTRIAL_Indústria,0.006146830759152831
19,CEP_2_DIG_48,0.0051000928565727716
20,DDD_65,0.0048236611773272075
